position,title,link,authors,publications
65,An iterated local search with multiple perturbation operators and time varying perturbation strength for the aircraft landing problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:hsZV8lGYWTMC,"NR Sabar, G Kendall","Omega 56, 88-98, 2015"
66,A hybrid placement strategy for the three-dimensional strip packing problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:uJ-U7cs_P_0C,"SD Allen, EK Burke, G Kendall","European Journal of Operational Research 209 (3), 219-227, 2011"
67,Fuzzy job shop scheduling with lot-sizing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:R3hNpaxXUhUC,"S Petrovic, C Fayad, D Petrovic, E Burke, G Kendall","Annals of Operations Research 159 (1), 275-292, 2008"
68,Good laboratory practice for optimization research,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:AXkvAH5U_nMC,"G Kendall, R Bai, J Błazewicz, P De Causmaecker, M Gendreau, R John, ...","Journal of the Operational Research Society 67 (4), 676-689, 2016"
69,Problem difficulty and code growth in genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:roLk4NBRz8UC,"S Gustafson, A Ekárt, E Burke, G Kendall","Genetic Programming and Evolvable Machines 5 (3), 271-290, 2004"
70,An adaptive length chromosome hyper-heuristic genetic algorithm for a trainer scheduling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:4DMP91E08xMC,"L Han, G Kendall, P Cowling","Recent Advances in Simulated Evolution and Learning, 506-525, 2004"
71,Hyperheuristics: A robust optimisation method applied to nurse scheduling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:9ZlFYXVOiuMC,"P Cowling, G Kendall, E Soubeiga","Parallel Problem Solving from Nature—PPSN VII, 851-860, 2002"
72,An ant based hyper-heuristic for the travelling tournament problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:TFP_iSt0sucC,"PC Chen, G Kendall, GV Berghe","2007 IEEE Symposium on Computational Intelligence in Scheduling, 19-26, 2007"
73,Channel assignment optimisation using a hyper-heuristic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:IWHjjKOFINEC,"G Kendall, M Mohamad","IEEE Conference on Cybernetics and Intelligent Systems, 2004. 2, 791-796, 2004"
74,Handbook of metaheuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:l7iSsH4_Im4C,"EK Burke, M Hyde, G Kendall, G Ochoa, E Ozcan, J Woodward","Hyper-heuristics: an emerging direction in modern search technology, 457-474, 2003"
75,Scheduling English football fixtures over holiday periods,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:35r97b3x0nAC,G Kendall,"Journal of the Operational Research Society 59 (6), 743-755, 2008"
76,The scalability of evolved on line bin packing heuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:MvIMIWP2nqIC,"EK Burke, MR Hyde, G Kendall, JR Woodward","2007 IEEE Congress on Evolutionary Computation, 2530-2537, 2007"
77,Guided operators for a hyper-heuristic genetic algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:QIV2ME_5wuYC,"L Han, G Kendall","AI 2003: Advances in Artificial Intelligence, 807-820, 2003"
